Baseline_discharge;Baseline_h_SJSR;Baseline_h_RP;Baseline_slope;alt1_discharge;alt1_h_SJSR;alt1_h_RP;alt1_slope;alt2_discharge;alt2_h_SJSR;alt2_h_RP;alt2_slope;alt3_discharge;alt3_h_SJSR;alt3_h_RP;alt3_slope
25.702054;27.923947;27.926314;0.000000064198;25.989876;27.994093;27.99620506;0.000000057303;27.130525;26.863340;26.888566;0.000000684255;1012.454381;29.715753;30.21;0.000013406573
31.476265;27.983937;27.987147;0.000000087068;31.737630;28.144376;28.1469192;0.000000068982;32.998550;27.010944;27.035487;0.000000665723;1037.859595;29.751889;30.24916191;0.000013488664
37.579412;28.031327;28.035564;0.000000114922;37.974973;28.280476;28.28351776;0.000000082517;38.978738;27.132156;27.157164;0.000000678351;1063.224500;29.787965;30.29235336;0.000013681679
43.999691;28.072191;28.077636;0.000000147708;44.520755;28.390090;28.39374642;0.000000099185;45.280606;27.228160;27.254786;0.000000722256;1088.550109;29.823894;30.33539588;0.000013874618
50.492779;28.107742;28.114527;0.000000184049;50.858334;28.445431;28.44990428;0.000000121345;51.850872;27.293212;27.322977;0.000000807370;1113.885278;29.859669;30.37838624;0.000014070333
56.783291;28.138459;28.146649;0.000000222160;57.296892;28.480145;28.48559979;0.000000147957;58.571916;27.341998;27.375772;0.000000916144;1139.228036;29.894395;30.42032592;0.000014266018
63.354912;28.167508;28.177277;0.000000264976;63.531083;28.504759;28.51127757;0.000000176824;65.218669;27.385402;27.423284;0.000001027571;1164.586896;29.930785;30.46391009;0.000014461156
69.416310;28.192010;28.203335;0.000000307198;69.522386;28.523100;28.53074276;0.000000207305;71.666513;27.427813;27.469426;0.000001128759;1189.915086;29.966016;30.5059621;0.000014646186
75.269848;28.213871;28.226789;0.000000350387;75.421450;28.537900;28.54674101;0.000000239825;78.408674;27.477822;27.522499;0.000001211864;1215.205550;30.001120;30.54770608;0.000014826280
81.084901;28.234145;28.248728;0.000000395549;81.331910;28.550577;28.56070732;0.000000274789;84.419958;27.526853;27.573551;0.000001266704;1240.444634;30.036008;30.58905849;0.000015001632
